"Provider Name"," Number of Certified Beds"
"BELVOIR WOODS HEALTH CARE CENTER AT THE FAIRFAX",56
"BENT COUNTY HEALTHCARE CENTER",56
"BETHEL HOME",56
"BRADLEY COURT",56
"BRAZOSVIEW HEALTHCARE CENTER",56
"BROOKDALE GALLERIA",56
"BROOKVIEW HEALTH CARE CENTER",56
"CANTERBURY OF TWINSBURG",56
"COKATO MANOR",56
"COURAGE KENNY REHABILITATION INSTITUTES TRP",56
"EDGEBROOK CARE CENTER",56
"EDGEWOOD CONVALESCENT HOME",56
"ELSBERRY MISSOURI HEALTH CARE CENTER",56
"FAIRVIEW AT REDSTONE VILLAGE",56
"FARMER CITY REHAB & HEALTHCARE",56
"FLORENCE NURSING HOME",56
"FORT BEND HEALTHCARE CENTER",56
"FOX SUBACUTE AT MECHANICSBURG",56
"GOLFVIEW HEALTHCARE CENTER",56
"GOOD SAMARITAN SOCIETY - FOREST CITY",56
"GOOD SAMARITAN SOCIETY - HAYS",56
"GOOD SAMARITAN SOCIETY - ST JOHNS",56
"GOOD SAMARITAN SOCIETY SIOUX FALLS CENTER",56
"GRACEWOOD NSG FACILITY(UNIT 9)",56
"GREEN HILLS HEALTH CARE CENTER",56
"HAVEN OF SCOTTSDALE",56
"HI-LINE RETIREMENT CENTER",56
"HIGHBANKS CARE CENTER",56
"HUBBARD HILL ESTATES INC",56
"JOHNSON MEMORIAL HOSP & HOME",56
"KANSAS SOLDIERS HOME",56
"LAKE RIDGE CARE CENTER OF BUFFALO",56
"LULING CARE CENTER",56
"LUTHERAN HAVEN NURSING HOME",56
"LUTHERAN HOME OF THE GOOD SHEPHERD",56
"LUTHERAN SOCIAL MINISTRIES CRANES MILL",56
"MADISON HEALTHCARE SERVICES",56
"MANOR GROVE, INCORPORATED",56
"MAPLE MANOR CHRISTIAN HOME INC",56
"MCCRITE PLAZA AT BRIARCLIFF SKILLED FACILITY",56
"MEADOW LANE RESTORATIVE CARE CENTER",56
"MEYER CARE CENTER",56
"NEW HAMPTON NURSING & REHAB CE",56
"OBION COUNTY NURSING HOME",56
"OKLAHOMA MEMORY CARE INSTITUTE",56
"ONEIDA NURSING AND REHAB CENTER",56
"OSAGE NURSING & REHABILITATION CENTER",56
"PERSON MEMORIAL HOSPITAL",56
"PINE VIEW NURSING AND REHABILITATION CENTER",56
"PLYMOUTH HARBOR INCORPORATED",56
"PRESTONSBURG HEALTH CARE CENTER",56
PRUITTHEATH-FARMVILLE,56
"REEDLEY CARE CENTER",56
"REGENCY OMAK",56
"RIVERSIDE HEALTH SERVICES",56
"ROCHESTER REHABILITATION AND LIVING CENTER",56
"SAMARITAN CARE CENTER AND VILLA",56
"SANDERS RIDGE HEALTH CAMPUS",56
"SARAH ANN HESTER MEMORIAL HOME",56
"SCENERY HILL HEALTHCARE AND REHABILITATION CENTER",56
"SHANDS JACKSONVILLE MEDICAL CENTER",56
"SMITH MEDICAL NURSING CARE CTR",56
"SOUTHEAST COLORADO HOSPITAL LTC",56
"ST LAWRENCE REHAB CENTER",56
"ST LUKE LUTHERAN COMMUNITY-PORTAGE LAKES",56
"ST THERESE OF WOODBURY LLC",56
"STONEBRIDGE DESOTO",56
"SYCAMORE CARE STRATEGIES",56
"TENNOVA NEWPORT CONVALESCENT CENTER",56
"THE AMSTERDAM AT HARBORSIDE",56
"THE COURTYARD REHABILITATION AND HEALTHCARE CENTER",56
"THE ESTATES AT EXCELSIOR LLC",56
"THE STEWART HEALTH CENTER",56
"THE WILLOWS AT HOWELL",56
"THE WILSHIRE SKILLED NURSING AND THERAPY",56
"TOTALLY KIDS REHABILITATION HOSPITAL - D/P SNF",56
"TRANSCENDENT HEALTHCARE OF BOONVILLE - NORTH",56
"TRINITY MANOR",56
"TRIPLE CREEK RETIREMENT COMMUNITY",56
"TWIN LAKES REHAB & HEALTH CARE",56
"UNIVERSITY EAST REHABILITATION CENTER",56
"VILLAGES AT HISTORIC SILVERCREST THE",56
"WELLINGTON PLACE",56
"WOOLDRIDGE PLACE NURSING CENTER",56
"ALPINE HEALTH AND REHABILITATION CENTER",57
"APERION CARE EVANSTON",57
"APOSTOLIC CHRISTIAN SKYLINES",57
"BELMONT MANOR",57
"BERKSHIRE REHABILITATION & SKILLED CARE CENTER",57
"BISHOP SPENCER PLACE, INC, THE",57
"BLAND COUNTY NURSING & REHABILITATION CENTER",57
"BRANDENBURG NURSING AND REHABILITATION CENTER",57
"BRICKYARD HEALTHCARE – KNOX CARE CENTER",57
"BROOKDALE SKYLINE",57
"BURNS NURSING HOME, INC.",57
"COLONIAL MANOR OF ELMA",57
"CRYSTAL CARE OF COAL GROVE",57
"CRYSTAL CREEK AT PRESTON HOLLOW",57
"DESERT VIEW CARE CENTER OF BUHL",57
"DUNLAP SPECIALTY CARE",57
"ELDERWOOD AT RIVERSIDE",57
"FRANKFORT HEALTHCARE & REHAB CENTER",57
"FRIENDSHIP VILLAGE",57
"GALENA STAUSS NURSING HOME",57
"GATEWAY CARE CENTER",57
"GOOD SAMARITAN SOCIETY - STAFHOLT",57
"GOOD SAMARITAN SOCIETY OF BARBOUR COUNTY",57
"GRAND RIVER HEALTH CARE CENTER",57
"HCC AT WHITE HORSE VILLAGE",57
"HELIA HEALTHCARE OF NEWTON",57
"JESMOND NURSING HOME",57
"LAKEWOOD VILLA",57
"MARYCREST MANOR",57
"MILLE LACS HEALTH SYSTEM",57
"MISSION CONVALESCENT HOME",57
"MORRISON NURSING HOME",57
"NATIONAL CHURCH RESIDENCES BRISTOL VILLAGE",57
"NEW BRIGHTON CARE CENTER",57
"OAK CREEK REHABILITATION CENTER OF KIMBERLY",57
"OHIO LIVING LAKE VISTA",57
"PALM GROVE HEALTH CARE",57
"PARKSIDE HOMES",57
"PERRY LUTHERAN HOMES EDEN ACRES CAMPUS",57
"PIONEER MANOR NURSING HOME",57
"REGINA SENIOR LIVING",57
"RIVER TERRACE HEALTH CAMPUS",57
"ROLLING HILLS HEALTHCARE AND REHABILITATION CENTER",57
"S.P.J.S.T. REST HOME 3",57
"SHELBY CROSSING HEALTH CAMPUS",57
"SHEPHERD OF THE VALLEY-BOARDMAN",57
"SOUTHEAST IOWA BEHAVIORAL HEALTH CARE CENTER",57
"ST. BARBARA'S MEMORIAL NURSING HOME",57
"SUNNY HILL CARE CENTER",57
"SUNNY VIEW NURSING HOME INC",57
"THE ROSEWOOD HEALTH CENTER",57
"THOMAS REST HAVEN",57
"TOUCHMARK ON SOUTH HILL NURSING",57
"UKIAH POST ACUTE",57
"VISTA CENTER, THE",57
"WEST OAKS NURSING AND REHABILITATION CENTER",57
"WILDFLOWER COURT",57
"ALPINE VILLAGE RETIREMENT CENTER",58
"ARCHBISHOP LEIBOLD HOME",58
"ARROWHEAD HEALTHCARE CENTER, LLC",58
"AVITA HEALTH AND REHAB AT REEDS COVE",58
"BARNES-KASSON COUNTY HOSPITAL",58
"BEAVER DAM NURSING & REHAB CENTER, INC",58
"BRIARFIELD PLACE",58
"BRIGHTMOOR NURSING CENTER",58
"CAROLINA VILLAGE INC",58
"CEDAR CREEK HEALTH CAMPUS",58
"CRESTVIEW HEALTHCARE AND REHABILITATION",58
"CUMBERLAND CROSSINGS RETIREMENT COMMUNITY",58
"DECATUR REHAB & HEALTH CARE CT",58
"DISCOVERY CARE CENTRE LTD",58
"DIVERSICARE OF BROOKHAVEN",58
"ELKHART MEADOWS",58
"FATHER PURCELL MEMORIAL EXCEPTIONAL CHILDREN'S CTR",58
"FOREST SPRINGS HEALTH CAMPUS",58
"GALENA NURSING & REHAB CENTER",58
"GARDEN VALLEY RETIREMENT VILLAGE",58
"GOLDEN AGE CARE CENTER",58
"GOLDEN YEARS NURSING HOME",58
"GOOD SAMARITAN SOCIETY-PRESCOTT VALLEY",58
"GOOD SAMARITAN SOCIETY-PRESCOTT VILLAGE",58
"GREENVILLE CARE CENTER",58
"HARRINGTON PARK HEALTH AND REHABILITATION",58
"HARRISON SPRINGS HEALTH CAMPUS",58
"HARTVILLE CARE CENTER",58
"HASKELL CARE CENTER",58
"HAVEN OF CAMP VERDE",58
"HAVEN OF DOUGLAS",58
"HAVEN OF SHOW LOW",58
"HEALTH AND REHABILITATION CENTRE AT DOLPHINS VIEW",58
"HENDERSON COUNTY RET CENTER",58
"HILL TOP HOME OF COMFORT INC",58
"HILLVIEW HEALTH CARE CENTER",58
"HOBART NURSING & REHAB",58
"HOLLAND HOME BRETON REHABILITATION & LIVING CENTRE",58
"IHM SENIOR LIVING COMMUNITY",58
"IMPERIAL MANOR NURSING HOME",58
"LAGUNA RAINBOW NURSING CENTER",58
"LANSING CARE AND REHAB",58
"LAPORTE HEALTHCARE CENTER",58
"LAUDERDALE CHRISTIAN NURSING HOME",58
"MAPLE HEIGHTS",58
"MAPLECREST REHAB & LIVING CENTER",58
"MEDICALODGES DEWEY",58
"MEMORIAL HEALTH CARE CENTER",58
"MIDDLEBURY CONVALESCENT HOME",58
"MISSION POINT NSG & PHY REHAB CTR OF FOREST HILLS",58
"MOTHER HULL HOME",58
"MUSKOGEE NURSING CENTER",58
"NATCHEZ REHABILITATION AND HEALTHCARE CENTER",58
"NEW EAST SIDE NURSING HOME",58
"NORTH RIVER HEALTH CAMPUS",58
"OAKBROOK HEALTH AND REHABILITATION",58
"OAKNOLL RETIREMENT RESIDENCE",58
"ORCHARD POINTE HEALTH CAMPUS",58
"OWYHEE HEALTH & REHABILITATION CENTER",58
"PARKDALE HEALTH AND REHAB",58
"PARKVIEW CARE CENTER",58
"PEABODY MANOR",58
"PECAN MANOR NURSING AND REHABILITATION",58
"PHOEBE WYNCOTE",58
"PINEKNOLL REHABILITATION CENTRE",58
"PIONEER MEMORIAL CARE CENTER",58
"PROVIDENCE CHILD CENTER",58
"PULASKI HEALTH CARE CENTER",58
"RED BLUFF HEALTH CARE CENTER",58
"RED OAK REHAB AND CARE CENTER",58
"REFORMED PRESBYTERIAN HOME",58
"RIVERDALE HEALTH CARE CENTER",58
"ROSE HAVEN NURSING HOME",58
"ROWNTREE GARDENS",58
"ROYAL TERRACE HEALTHCARE",58
"SAN JOSE HEALTHCARE & WELLNESS CENTER",58
"SANDROCK RIDGE CARE AND REHAB",58
"SCOTIA VILLAGE-SNF",58
"SPJST REST HOME NO 2",58
"SPRINGS AT ST ANDREWS VILLAGE, THE",58
"ST. JOSEPH'S VILLA, INC.",58
"STEWARTVILLE CARE CENTER",58
"STROUD HEALTH CARE CENTER SOUTH",58
"THE BARTLETT SKILLED NURSING AND ASSISTED LIVING",58
"THE CARE CENTER ON HAZELTINE, LLC",58
"THE DOROTHY & JOSEPH GOLDBERG HEALTHCARE CENTER",58
"THE NEW HOMESTEAD CARE CENTER",58
"THE PEAKS HEALTH & REHABILITATION",58
"THE REDWOODS, A COMMUNITY OF SENIORS",58
"TREND HEALTH & REHAB OF MERIDIAN LLC",58
"VALLEY CARE CENTER",58
"VILLA SCALABRINI SPECIAL CARE",58
"VILLAGES AT OAK RIDGE, THE",58
"WATERS OF RISING SUN, THE",58
"WESTON COUNTY HEALTH SERVICES",58
"WILBER CARE CENTER",58
"WILLOW KNOLL POST-ACUTE AND SENIOR LIVING",58
"WINDWARD GARDENS",58
"WOODSIDE HEALTHCARE CENTER",58
"ZARROW POINTE",58
"ACCEL AT CRYSTAL PARK",59
"AUBURN RAVINE TERRACE",59
"BALDWIN GARDENS NURSING CENTER",59
"BAYSIDE VILLAGE",59
"BEACHSIDE NURSING CENTER",59
"BELLE TERRACE",59
"BELLFLOWER POST ACUTE",59
"BETHEL LUTHERAN HOME",59
"BETHEL LUTHERAN HOME",59
"BONNIE BRAE SKILLED NURSING",59
"BRENTWOOD HEALTH CARE CENTER",59
"BROADWAY HEALTHCARE CENTER",59
"CALVIN COMMUNITY",59
"CARE NURSING & REHABILITATION",59
"CASA DE MODESTO",59
"CENTINELA SKILLED NURSING & WELLNESS CENTRE WEST",59
"CHAPEL POINTE AT CARLISLE",59
"CHRISTIAN PARK VILLAGE",59
"CLAREMONT MANOR CARE CENTER",59
"COFFMAN NURSING HOME",59
"COLQUITT REGIONAL SENIOR CARE & REHABILITATION",59
"CONCORDIA AT THE CEDARS",59
"CONTINENTAL MANOR NURS AND REHABILITATION CENTER",59
"COUNTRY CREST POST ACUTE",59
"COUNTRY OAKS CARE CENTER",59
"COUNTRY VIEW MANOR INC",59
"COUNTRY VILLA PAVILION NURSING CENTER",59
"COUNTRYSIDE CARE CENTER",59
"COURTYARD CARE CENTER",59
"CREEKSIDE CARE CENTER",59
"CRIPPLE CREEK CARE CENTER",59
"DAWSON SPRINGS HEALTH AND REHABILITATION CENTER",59
"DEL MAR CONVALESCENT HOSPITAL",59
"DISCOVERY NURSING & REHAB OF VANCOUVER",59
"EAGLE LAKE NURSING AND REHAB CARE CENTER",59
"EDEN VALLEY CARE CENTER",59
"FAIRMONT REHABILITATION HOSPITAL",59
"FALCON LAKE NURSING HOME",59
"GATEWAY CARE AND RETIREMENT",59
"GEORGE REGIONAL HEALTH & REHAB CENTER",59
"GLASGOW GARDENS",59
"GOOD SAMARITAN SOCIETY - CURRY VILLAGE",59
"GOOD SAMARITAN SOCIETY - OAKES",59
"GOOD SAMARITAN SOCIETY - WEST UNION",59
"GRAND TERRACE HEALTH CARE CENTER",59
"GROVE MANOR",59
"GUNNISON VALLEY HEALTH SENIOR CARE CENTER",59
"HARBOR BEACH NURSING AND REHABILITATION CENTER",59
"HARVARD CREEK POST ACUTE",59
"HAYWARD HEALTH SERVICES",59
"HEALTHCARE CENTER OF BELLA VISTA",59
"HICKS GOLDEN YEARS NURSING HOME",59
"HIGHLAND NURSING CENTER",59
"HIGHLAND PARK SKILLED NURSING AND WELLNESS CENTER",59
"HIGHLAND RIDGE CARE CENTER, LLC",59
"HILLCREST NURSING HOME",59
"HILLCREST POST ACUTE",59
"HITZ MEMORIAL HOME",59
"INLAND CHRISTIAN HOME",59
"JENKINS MEMORIAL HEALTH FACILITY",59
"LAKEVIEW HEALTH CARE & REHABILITATION CENTER",59
"LAWNDALE HEALTHCARE & WELLNESS CENTRE LLC",59
"LINCOLN GLEN SKILLED NURSING",59
"LINDA MAR CARE CENTER",59
"LITTLE SISTERS OF THE POOR OF PALATINE",59
"LOGAN HEALTH - CONRAD",59
"LOS BANOS NURSING & REHABILITATION CENTER",59
"MANNING GARDENS CARE CENTER, INC",59
"MAPLE HEALTHCARE CENTER",59
"MAPLE MANOR REHAB CENTER",59
"MAYFLOWER CARE CENTER",59
MEADOWOOD,59
"MEADOWVIEW NURSING CENTER",59
"MERCY CENTER NURSING UNIT INC",59
"MERCY RETIREMENT & CARE CENTER",59
"MIRAVILLA CARE CENTER",59
"MISSION AT CASTLE ROCK REHABILITATION CENTER",59
"MISSION CARE CENTER",59
"MISSION POINT NSG & PHYSICAL REHAB CTR OF DETROIT",59
"MONMOUTH NURSING HOME",59
"MONTCLAIR MANOR CARE CENTER",59
"MONTROSE HEALTHCARE CENTER",59
"NEWPORT NURSING AND REHABILITATION CENTER",59
"NORSELAND NURSING HOME",59
"NORTH WALK VILLA CONVAL. HOSP.",59
"OAK GROVE CHRISTIAN RETIREMENT VILLAGE",59
"ONTARIO HEALTHCARE CENTER",59
"ORCHID COVE AT KISSIMMEE",59
"PARAMOUNT CONVALESCENT HOSP.",59
"PEACH TREE PLACE",59
"POMONA VISTA CARE CENTER",59
"RANCHO MESA CARE CENTER",59
"REDWOOD TERRACE HEALTH CENTER",59
"REGENTS POINT - WINDCREST",59
"RIDGE CREST AT MEADOW RIDGE",59
"RIMROCK VILLA CONVALESCENT HOSPITAL",59
"RIVERSIDE VILLAGE HEALTHCARE CENTER",59
"SACRED HEART CARE CENTER",59
"SAN MARINO MANOR",59
"SANTA MONICA HEALTH CARE CENTER",59
"SCOTT HEALTH & REHABILITATION",59
"SHASTA VIEW ESTATES",59
"SIERRA VIEW HOMES",59
"SOCAL POST-ACUTE CARE",59
"ST ANDREWS",59
"ST ELIZABETH HEALTHCARE CENTER",59
"ST. PAULS HEALTH CARE CENTER",59
"STONE COUNTY REHABILITATION AND NURSING CTR INC",59
"SUNRISE VIEW CONVALESCENT CTR",59
"TEMPLE CITY HEALTHCARE",59
"TERRACE VIEW CARE CENTER",59
"THE COVE AT LA JOLLA",59
"THE SPRINGS AT PACIFIC REGENT",59
"THE SPRINGS AT THE CARLOTTA",59
"THE TERRACES OF LOS GATOS",59
"TRELLIS CHINO",59
"UNITED PRESBYTERIAN HOME",59
"UNITED ZION RETIREMENT COMMUNI",59
"UNIVERSITY POST-ACUTE REHAB",59
"VALENCIA GARDENS HEALTH CARE CENTER",59
"VALLE VISTA POST ACUTE",59
"VALLEY CONVALESCENT HOSPITAL",59
"VILLA HEALTH CARE CENTER",59
"VILLA VALENCIA HEALTHCARE CENTER",59
"WALKER REHABILITATION CENTER, INC",59
"WARM BEACH HEALTH CARE CENTER",59
"WELCH COMMUNITY HOSPITAL",59
"WESTMINSTER COMMUNITIES OF BRADENTON WESTMINSTER",59
"WESTVIEW MANOR AND REHABILITATION CENTER",59
"WHITNEY CENTER",59
"WILLARD HEALTHCARE",59
"WILLOWBROOK TERRACE",59
"WILLOWBROOKE CT SKILLED CARE CTR AT MAGNOLIA TRACE",59
"WOLF CREEK CARE CENTER",59
"YUBA CITY POST ACUTE",59
"AARON MANOR NURSING & REHABILITATION",60
"ABERDEEN VILLAGE",60
"ACCORDIUS HEALTH AT MONROE",60
"ACCURA HEALTHCARE OF KNOXVILLE, LLC",60
"ALDEN COURTS OF WATERFORD",60
"ALEXANDRIA PLACE",60
"ALGONA MANOR CARE CENTER",60
"ALHAMBRA HEALTH AND REHABILITATION CENTER",60
"ALLEGIANT WELLNESS AND REHAB",60
"ALLEGRIA AT THE FOUNTAINS",60
"ALLENDALE NURSING AND REHABILITATION COMMUNITY",60
"ALPINE NURSING HOME INC",60
"ALPINE TERRACE",60
"ANNANDALE CARE CENTER",60
"ANSTED CENTER",60
"APERION CARE ST ELMO",60
"APOSTOLIC CHRISTIAN HOME",60
"APPLE REHAB AVON",60
"APPLE REHAB CLIPPER",60
"APPLE REHAB COLCHESTER",60
"APPLE REHAB MYSTIC",60
"APPLE RIDGE CARE CENTER",60
"APPLETON CITY MANOR",60
"APPLEWOOD ESTATES",60
"APPOMATTOX HEALTH & REHABILITATON CENTER",60
"ARBOR CARE CENTERS-ORD, LLC",60
"ARBOR WALK HEALTHCARE CENTER",60
"ARGENTINE CARE CENTER",60
"ARKANSAS CITY PRESBYTERIAN MANOR",60
"ARRINGTON LIVING CENTER",60
"ASCENSION LIVING - LAKESHORE AT SIENA",60
"ASHLAND HEALTH AND REHABILITATION",60
"ASHLAND HEALTHCARE",60
"ASPIRE OF ESTHERVILLE",60
"ASPIRE SENIOR LIVING FAYETTE",60
"ASPIRE SENIOR LIVING GERALD",60
"AULTMAN TRANSITIONAL CARE CENTER",60
"AUTUMN CARE OF NASH",60
"AVAMERE TRANSITIONAL CARE OF PUGET SOUND",60
"AVANTARA MILBANK",60
"AZRIA HEALTH SUTHERLAND",60
"BALDWIN HEALTHCARE & REHAB CENTER, LLC",60
"BANGOR NURSING & REHABILITATION CENTER",60
"BAPTIST HOME OF SOUTH JERSEY",60
"BAYBERRY NURSING HOME",60
"BAYSIDE HEALTH & REHABILITATION CENTER",60
"BAYSIDE OF POQUOSON HEALTH AND REHAB",60
"BAYVIEW NURSING & REHAB CENTER",60
"BEARE MANOR",60
"BEDFORD ALZHEIMER'S CARE CENTER",60
"BEDFORD CARE CENTER OF MENDENH",60
"BEDFORD CARE CENTER OF PETAL",60
"BEDFORD CARE CENTER OF PICAYUNE",60
"BEDFORD COURT HEALTHCARE CENT.",60
"BEDFORD SPRINGS HEALTH AND REHABILITATION",60
BEECHWOOD,60
"BEMENT HEALTH CARE CENTER",60
"BEND TRANSITIONAL CARE",60
"BERTRAND NURSING AND REHAB CENTER",60
"BETHANY HOME - BRANDON",60
"BETHEL HEALTH CARE CENTER",60
"BETTY ANN NURSING CENTER",60
"BIG SPRING CARE CENTER FOR REHAB AND HEALTHCARE",60
"BILLDORA SENIOR CARE",60
"BIRCHWOOD CARE HOME",60
"BISHOPS GLEN RETIREMENT CENTER",60
"BLOOMFIELD LIVING CENTER",60
"BOYD NURSING AND REHABILITATION",60
"BRENT B TINNIN MANOR",60
"BREWSTER CONVALESCENT CENTER",60
"BRIAN CENTER HEALTH AND REHABILITATION",60
"BRIAR HILL REST HOME",60
"BRONTE HEALTH AND REHAB CENTER",60
"BROOKDALE PALMER RANCH SNF",60
"BROOKESTONE VIEW",60
"BROOKLYN COMMUNITY ESTATES",60
"BRUNSWICK NURSING & REHAB",60
"BRYAN HEALTH AND REHAB",60
"BUCHANAN HEALTHCARE CENTER",60
"BUFFALO PRAIRIE CENTER FOR REHAB AND HEALTHCARE",60
"CADIA HEALTHCARE - HAGERSTOWN",60
"CALEB HITCHCOCK HEALTH CARE CE",60
"CALHOUN NURSING HOME",60
"CALIFORNIA CARE CENTER",60
"CAMDEN POSTACUTE CARE, INC",60
"CAMERON NURSING AND REHABILITATION CENTER",60
"CANON LODGE CARE CENTER",60
"CANTERBURY TOWERS INC",60
"CAPSTONE HEALTHCARE ESTATES AT VETERANS MEMORIAL",60
"CARETEL INNS OF BRIGHTON",60
"CARETEL INNS OF LINDEN",60
"CARETEL INNS OF TRI-CITIES",60
"CARLYLE SENIOR CARE OF FOUNTAIN INN",60
"CARRINGTON PLACE OF TAPPAHANNOCK",60
"CARRINGTON, LLC D/B/A THE CARRINGTON",60
"CASSVILLE HEALTH CENTER FOR REHAB AND HEALTHCARE",60
"CEDAR MANOR NURSING HOME",60
"CENTRACARE HEALTH SYSTEM - LONG PRAIRIE",60
"CENTRACARE HEALTH SYSTEM-SAUK CENTRE NURSING HOME",60
"CHAMBERS POINTE HEALTH CARE CENTER",60
"CHARITON SPECIALTY CARE",60
"CHELSEA GARDENS",60
"CHELSEY PARK HEALTH AND REHABILITATION",60
"CHESTERFIELDS HEALTH CARE CENTER",60
"CHICKASHA NURSING CENTER, INC",60
"CHIPOLA HEALTH AND REHABILITATION CENTER",60
"CHRISTIAN EXTENDED CARE & REHABILITATION",60
"CHRISTIAN HEIGHTS NURSING AND REHABILITATION CENTE",60
"CITIZENS MEDICAL CENTER LTCU",60
"CLARENCE CARE CENTER",60
"CLAREWOOD HOUSE EXTENDED CARE CENTER",60
"CLAY HEALTH CARE CENTER",60
"CLAYMONT NURSING & REHABILITATION CENTER",60
"CLEARWATER HEALTH & REHABILITATION OF CASCADIA",60
"COBALT LODGE HEALTH CARE & REH",60
"COBBLESTONE CROSSINGS HEALTH CAMPUS",60
"COLONIAL HEALTHCARE",60
"COLONIAL MANOR OF AMANA",60
"COLORADO VETERANS COMMUNITY LIVING CTR AT HOMELAKE",60
"COLUMBINE COMMONS HEALTH AND REHAB LLC",60
"COMMUNITY CARE CENTER OF LEMAY INC",60
"COMMUNITY PLACE",60
"COMPERE NH INC",60
"COMPLETE CARE AT PHILLIPSBURG, LLC",60
"CONCORDIA AT REBECCA RESIDENCE",60
"CONNECTICUT BAPTIST HOMES, INC",60
"COOK WILLOW CONVALESCENT HOSPITAL",60
"COPIAH LIVING CENTER",60
"CORAL DESERT REHABILITATION AND CARE",60
"CORE OF DALE",60
"COTTAGES OF LAKE ST LOUIS",60
"COTTINGHAM RETIREMENT COMMUNITY",60
"COTTONWOOD NURSING AND REHABILITATION",60
"COUNTRY AIRE RETIREMENT CENTER",60
"COUNTRY VIEW NURSING FACILITY, INC",60
COUNTRYSIDE,60
"COVENANT VILLAGE CARE CENTER",60
"CREST VIEW NURSING HOME",60
"CROSS CITY NURSING AND REHABILITATION CENTER",60
"CROSSINGS CARE CENTER",60
CROSSLANDS,60
"CURTIS HOME ST ELIZABETH CENTER",60
"DAVENPORT CARE CENTER",60
"DAYTON NURSING AND REHABILITATION",60
"DEL RIO NURSING AND REHABILITATION CENTER",60
"DELTA SOUTH NURSING & REHABILITATION",60
"DEWITT NURSING HOME",60
"DINWIDDIE HEALTH AND REHAB CENTER",60
"DIVERSICARE OF LULING",60
"DIVERSICARE OF TYLERTOWN",60
"DIXON NURSING & REHAB",60
"DOUGLAS CARE CENTER LLC",60
"DR GUY GORMAN SR CARE HOME",60
"DUGAN MEMORIAL HOME",60
"E W THOMPSON HEALTH & REHABILITATION CENTER",60
"E.A. HAWSE NURSING AND REHABILITATION CENTER",60
"EAGLE POINTE SKILLED NURSING & REHAB",60
"EASLEY PLACE-A CONTINUUM OF CARE COMMUNITY",60
"EAST PARK CARE CENTER",60
"ECUMEN LAKESHORE",60
"EDGEHILL NURSING AND REHAB CEN",60
"EDGEWOOD ESTATES",60
"EDGEWOOD MANOR OF GREENFIELD",60
"EL REPOSO NURSING FACILITY",60
"ELIZABETH SCOTT COMMUNITY",60
"ELMS RETIREMENT VILLAGE INC",60
"EMBASSY REHAB AND CARE CENTER",60
"EMPORIA PRESBYTERIAN MANOR",60
"ENGLISH VALLEY NURSING CARE CENTER",60
"ENVOY AT THE VILLAGE",60
"ENVOY OF WINCHESTER, LLC",60
"EPISCOPAL CHURCH HOME GARDENS",60
"ESKRIDGE CARE AND REHAB",60
"ESTELLINE NURSING AND CARE CENTER",60
"EUREKA NURSING CENTER",60
"EVERGREEN HEALTHCARE CENTER",60
"EVERGREEN NURSING HOME",60
"EXIRA CARE CENTER",60
"FAIRFAX MANOR",60
"FAITH LUTHERAN HOME",60
"FAITH LUTHERAN HOME",60
"FAMILY CARE CENTER OF KINGSTON",60
"FAYETTE NURSING AND REHABILITATION CENTER",60
"FIESER NURSING CENTER",60
FLAGSTONE,60
"FOREST STREET COMPASSIONATE CARE CENTER",60
"FORREST OAKES HEALTHCARE CENTER",60
"FORT GAINES HEALTH AND REHAB",60
"FOX RUN AT ORCHARD PARK",60
"FOX SUBACUTE AT CLARA BURKE",60
"FOX SUBACUTE CENTER",60
"FRAZEE CARE CENTER",60
"FREDERIC NURSING AND REHAB COMMUNITY",60
"FULTON NURSING AND REHABILITATION, LLC",60
"GARDEN PARK HEALTH CARE CENTER",60
"GARDENS AND GUARDIAN (THE)",60
"GARDNERVILLE  HEALTH & REHAB  CENTER",60
"GATEWAY HEALTH AND REHAB",60
"GENEVA LAKE MANOR",60
"GENTLECARE OF VINCENNES",60
"GLADWIN NURSING AND REHABILITATION COMMUNITY",60
"GLENVIEW HEALTH AND REHABILITATION",60
"GLENWOOD HEALTHCARE",60
"GOLDEN PALMS RETIREMENT AND HEALTH CENTER",60
"GOLDEN PEAKS CENTER",60
"GOOD SAMARITAN SOCIETY - ALBION",60
"GOOD SAMARITAN SOCIETY - FAIRFIELD GLADE",60
"GOOD SAMARITAN SOCIETY - HOLSTEIN",60
"GOOD SAMARITAN SOCIETY - ST LUKE'S VILLAGE",60
"GOOD SAMARITAN SOCIETY - ST MARTIN VILLAGE",60
"GOOD SAMARITAN SOCIETY -- LAKE FOREST VILLAGE",60
"GOOD SAMARITAN SOCIETY SHAKAMAK RETIREMENT COMM",60
"GOOD SAMARITAN SOCIETY-FLORIDA LUTHERAN",60
"GOOD SAMARITAN SOCIETY-QUIBURI MISSION",60
"GOOD SHEPHERD HOME-BETHLEHEM",60
"GRACE CARE CENTER OF HENRIETTA",60
"GRACEMORE NURSING AND REHAB",60
"GRANBY HOUSE",60
"GRAND RIVER HEALTH CARE",60
"GRANDVIEW HEALTH CARE CENTER",60
"GRANGEVILLE HEALTH & REHABILITATION CENTER",60
"GREAT OAKS REHABILITATION AND HEALTHCARE CENTER",60
"GREEN ACRES HEALTHCARE",60
"GREEN HOUSE HOMES AT MIRASOL, THE",60
"GREENBOUGH HEALTH AND REHABILITATION CENTER",60
"GREENE COUNTY HEALTH AND REHABILITATION",60
